,Income Statement Trending Detail - GGM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/1/2025 to 6/30/2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Include Closing Periods: NO,,,,,,,,,,,,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allure of Mendota,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 25_Actual $,July 25_Actual / Day,August 25_Actual $,August 25_Actual / Day,September 25_Actual $,September 25_Actual / Day,October 25_Actual $,October 25_Actual / Day,November 25_Actual $,November 25_Actual / Day,December 25_Actual $,December 25_Actual / Day,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
   Payroll Activity,"7,133",3.49,"7,519",3.62,"6,876",3.47,"6,995",3.41,"6,886",3.13,"7,238",3.38,"7,132",3.32,"6,156",3.26,"7,589",3.71,"6,903",3.63,"7,502",3.61,"7,784",3.8,"85,713",3.48
   Activity Supplies,"1,799",0.88,"1,904",0.92,"2,112",1.07,"2,718",1.33,"2,172",0.99,"2,744",1.28,440,0.2,777,0.41,117,0.06,540,0.28,937,0.45,748,0.37,"17,005",0.69
TOTAL Leisure Time & Activities,"8,932",4.37,"9,423",4.54,"8,987",4.54,"9,712",4.74,"9,059",4.12,"9,982",4.66,"7,572",3.52,"6,933",3.67,"7,706",3.77,"7,443",3.91,"8,439",4.06,"8,532",4.17,"102,719",4.18
House & Plant Costs,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Housekeeping,"6,241",3.06,"6,716",3.24,"6,701",3.38,"7,071",3.45,"7,171",3.26,"8,078",3.77,"10,157",4.72,"7,747",4.1,"9,266",4.53,"9,067",4.76,"9,088",4.38,"7,093",3.46,"94,397",3.84
   Payroll Laundry,"10,295",5.04,"8,838",4.26,"8,467",4.27,"9,516",4.64,"9,482",4.31,"10,281",4.8,"7,418",3.45,"6,152",3.25,"6,200",3.03,"6,619",3.48,"7,205",3.47,"6,451",3.15,"96,923",3.94
   Payroll Maintenance,"8,375",4.1,"30,909",14.89,"8,090",4.08,"8,583",4.19,"8,212",3.73,"8,954",4.18,"9,430",4.39,"8,285",4.38,"9,880",4.83,"9,256",4.86,"8,829",4.25,"8,730",4.26,"127,533",5.18
   Payroll Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Housekeeping Supplies,"1,228",0.6,"1,221",0.59,"1,046",0.53,"1,455",0.71,"1,957",0.89,"1,963",0.92,"1,277",0.59,"1,702",0.9,"1,042",0.51,"1,192",0.63,"1,913",0.92,"1,557",0.76,"17,554",0.71
   Covid-19 Housekeeping Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Laundry Supplies,352,0.17,610,0.29,297,0.15,307,0.15,419,0.19,321,0.15,323,0.15,324,0.17,342,0.17,286,0.15,388,0.19,307,0.15,"4,277",0.17
   Linen Replacement,460,0.23,740,0.36,753,0.38,433,0.21,449,0.2,681,0.32,460,0.21,697,0.37,640,0.31,108,0.06,582,0.28,536,0.26,"6,539",0.27
   Maintenance Supplies,"3,237",1.59,"1,947",0.94,"2,154",1.09,"3,331",1.63,"2,527",1.15,"2,200",1.03,854,0.4,"2,678",1.42,"1,894",0.93,"1,070",0.56,"4,088",1.97,"1,824",0.89,"27,805",1.13
   Maintenance Services,"2,861",1.4,"1,467",0.71,916,0.46,"1,357",0.66,"1,067",0.49,"4,850",2.27,"1,273",0.59,"2,757",1.46,995,0.49,"4,591",2.41,"2,919",1.41,"4,123",2.01,"29,176",1.19
   Lawn & Snow Removal Services,612,0.3,696,0.34,0,0,700,0.34,520,0.24,190,0.09,0,0,"2,875",1.52,500,0.24,"1,250",0.66,900,0.43,"1,070",0.52,"9,313",0.38
   Scavenger,122,0.06,669,0.32,493,0.25,493,0.24,719,0.33,568,0.27,717,0.33,624,0.33,474,0.23,850,0.45,574,0.28,574,0.28,"6,877",0.28
   Exterminator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Electric & Gas,"5,904",2.89,"5,837",2.81,"10,385",5.24,"4,937",2.41,"5,018",2.28,"7,493",3.5,"7,584",3.53,"8,787",4.65,"4,003",1.96,"6,614",3.47,"3,215",1.55,"5,189",2.53,"74,966",3.05
   Water & Sewer,"2,651",1.3,"1,654",0.8,"2,360",1.19,"2,725",1.33,"3,595",1.63,"4,460",2.08,"4,055",1.89,"2,572",1.36,"1,949",0.95,"2,222",1.17,"2,636",1.27,"1,892",0.92,"32,770",1.33
TOTAL House & Plant Costs,"42,338",20.73,"61,303",29.53,"41,663",21.03,"40,909",19.97,"41,137",18.7,"50,039",23.37,"43,549",20.26,"45,201",23.9,"37,185",18.18,"43,125",22.65,"42,336",20.38,"39,346",19.22,"528,130",21.47
Food & Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Dietary,"24,786",12.14,"30,345",14.62,"24,512",12.37,"25,309",12.35,"27,143",12.34,"27,530",12.86,"27,847",12.95,"24,099",12.74,"26,738",13.07,"26,402",13.87,"29,232",14.07,"26,338",12.87,"320,279",13.02
   Food,"14,251",6.98,"11,758",5.66,"13,751",6.94,"14,951",7.3,"14,113",6.41,"13,911",6.5,"16,671",7.75,"14,894",7.88,"16,440",8.04,"16,780",8.81,"15,058",7.25,"15,955",7.79,"178,532",7.26
   Food Supplements,"2,904",1.42,"1,568",0.76,"1,294",0.65,"1,309",0.64,549,0.25,913,0.43,496,0.23,322,0.17,922,0.45,873,0.46,451,0.22,"1,367",0.67,"12,968",0.53
   Dietary Supplies,"1,892",0.93,"1,523",0.73,"1,700",0.86,"2,269",1.11,"2,149",0.98,"3,361",1.57,"3,425",1.59,"1,960",1.04,"1,845",0.9,"2,062",1.08,"1,729",0.83,"1,725",0.84,"25,641",1.04
   Covid-19 Dietary Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Dietary Consultant,53,0.03,53,0.03,53,0.03,53,0.03,142,0.06,144,0.07,155,0.07,153,0.08,144,0.07,158,0.08,153,0.07,152,0.07,"1,414",0.06
