,Income Statement Trending Detail - GGM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/1/2025 to 6/30/2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Allure of Walnut, Allure of Walnut ILF",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 25_Actual $,July 25_Actual / Day,August 25_Actual $,August 25_Actual / Day,September 25_Actual $,September 25_Actual / Day,October 25_Actual $,October 25_Actual / Day,November 25_Actual $,November 25_Actual / Day,December 25_Actual $,December 25_Actual / Day,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
   Food Supplements,721,0.49,505,0.34,532,0.38,631,0.42,572,0.38,858,0.56,693,0.48,871,0.63,742,0.48,998,0.67,"1,013",0.66,955,0.61,"9,092",0.51
   Dietary Supplies,"1,362",0.93,727,0.49,"1,176",0.84,870,0.58,"1,036",0.68,822,0.53,"1,338",0.92,"1,397",1.02,"1,142",0.74,"1,058",0.71,"2,016",1.31,"1,167",0.75,"14,110",0.79
   Covid-19 Dietary Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Dietary Consultant,53,0.04,106,0.07,0,0,200,0.13,74,0.05,184,0.12,165,0.11,155,0.11,155,0.1,160,0.11,171,0.11,169,0.11,"1,593",0.09
TOTAL Food & Nutrition,"33,515",22.92,"33,982",23.01,"34,967",24.89,"36,003",24.15,"35,404",23.23,"37,708",24.55,"36,183",24.8,"33,594",24.47,"33,988",22.1,"35,227",23.66,"36,735",23.9,"36,178",23.16,"423,485",23.72
Employee Welfare Costs,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Taxes,"14,932",10.21,"14,546",9.85,"13,711",9.76,"13,798",9.25,"14,285",9.37,"18,501",12.05,"16,188",11.1,"13,579",9.89,"11,611",7.55,"13,246",8.9,"14,120",9.19,"13,649",8.74,"172,166",9.64
   Workmans Comp Insurance,"1,382",0.95,"1,112",0.75,"1,112",0.79,"6,568",4.41,"5,010",3.29,"9,886",6.44,"1,651",1.13,"4,701",3.42,"7,116",4.63,"1,112",0.75,"-2,084",-1.36,"1,388",0.89,"38,956",2.18
   Employee Benefits,299,0.2,299,0.2,160,0.11,"8,056",5.4,"4,828",3.17,131,0.09,"1,662",1.14,172,0.13,-104,-0.07,918,0.62,"6,593",4.29,"-11,820",-7.57,"11,193",0.63
   Employee Insurance,"5,173",3.54,"8,793",5.95,"9,864",7.02,"29,378",19.7,"10,240",6.72,"6,479",4.22,"10,424",7.14,"10,424",7.59,"10,424",6.78,"9,025",6.06,"8,899",5.79,"9,248",5.92,"128,369",7.19
   Education & Seminars,"1,596",1.09,450,0.3,0,0,0,0,102,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,148",0.12
   Pension,586,0.4,"2,372",1.61,"2,405",1.71,"4,363",2.93,-136,-0.09,468,0.3,"2,095",1.44,-754,-0.55,"5,592",3.64,"2,371",1.59,"-3,918",-2.55,"15,093",9.66,"30,537",1.71
TOTAL Employee Welfare Costs,"23,968",16.39,"27,572",18.67,"27,253",19.4,"62,163",41.69,"34,329",22.53,"35,465",23.09,"32,019",21.95,"28,122",20.48,"34,638",22.52,"26,672",17.91,"23,609",15.36,"27,560",17.64,"383,370",21.47
General & Administrative,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Administrative,"9,390",6.42,"10,204",6.91,"8,719",6.21,"9,287",6.23,"8,823",5.79,"19,385",12.62,"9,777",6.7,"8,656",6.3,"9,767",6.35,"8,898",5.98,"13,352",8.69,"9,759",6.25,"126,017",7.06
   Payroll Office,"5,748",3.93,"9,172",6.21,"8,009",5.7,"8,041",5.39,"8,070",5.3,"7,675",5,"8,234",5.64,"6,888",5.02,"7,641",4.97,"7,221",4.85,"7,030",4.57,"6,603",4.23,"90,333",5.06
   Payroll Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Marketing Consultant,850,0.58,850,0.58,850,0.6,850,0.57,850,0.56,850,0.55,850,0.58,850,0.62,"1,311",0.85,850,0.57,850,0.55,"1,302",0.83,"11,113",0.62
   General Insurance,"3,043",2.08,"2,810",1.9,"2,810",2,"2,810",1.88,"2,810",1.84,"2,810",1.83,"3,865",2.65,"2,794",2.03,"2,794",1.82,"2,794",1.88,"2,711",1.76,"2,794",1.79,"34,845",1.95
   Office Supplies,235,0.16,405,0.27,"1,393",0.99,437,0.29,310,0.2,512,0.33,326,0.22,245,0.18,843,0.55,377,0.25,287,0.19,139,0.09,"5,509",0.31
   Office Rental Equipment,446,0.31,"3,256",2.2,446,0.32,446,0.3,"3,290",2.16,604,0.39,892,0.61,"3,612",2.63,"-6,909",-4.49,446,0.3,446,0.29,158,0.1,"7,134",0.4
   Contributions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Licensing Fee,0,0,0,0,0,0,350,0.23,0,0,0,0,95,0.07,0,0,0,0,0,0,"2,035",1.32,0,0,"2,480",0.14
   Telephone & Cable,"1,229",0.84,"1,189",0.81,"1,159",0.83,"1,158",0.78,"1,168",0.77,"1,357",0.88,"1,260",0.86,"1,260",0.92,"1,666",1.08,"1,259",0.85,"1,164",0.76,"1,164",0.75,"15,035",0.84
   Dues & Subscriptions,589,0.4,"1,369",0.93,754,0.54,589,0.4,780,0.51,589,0.38,589,0.4,"2,589",1.89,"2,449",1.59,589,0.4,589,0.38,"2,697",1.73,"14,172",0.79
